order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_method,order_status,total_amount
e2b8db0b-797a-4a29-b27b-bd7665d4957c,4f466848-94e2-4c96-82b9-23ffbc1d1764,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-01-11,2,17164.00,3.00,2-day,Returned,33298.16
7c7c7753-bfd5-496a-8ef1-c7faf1639e44,e3008bf1-bfe3-4bb5-8f47-e5a95c8691f6,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-12-01,1,17164.00,5.00,Standard,Completed,16305.80
e216ee3d-c403-46c5-8b93-83da68d6794c,40807bc0-b6ab-4bdf-91a0-c28b9cca8fb0,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-05-30,1,17164.00,4.00,Standard,Completed,16477.44
1b40dab4-1621-4951-85f3-a06a3d77ac28,85e1607c-2b8b-4ffb-b6e5-0101a610886f,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-02-11,1,17164.00,2.00,Standard,On Hold,16820.72
4455d0ae-1852-4a3f-88d1-e21d3abdcddb,56465eaf-7e37-4ce1-964d-1c3026116595,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2025-03-06,4,17164.00,5.00,Express,Shipped,65223.20
868f73d3-32d8-4ce6-a0ae-fc055aae52c8,4f73b3a7-2aae-420d-adf0-415880fdf0a9,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2025-02-01,2,17164.00,1.00,Standard,On Hold,33984.72
11358005-c80e-4586-ae0a-bd069b1699cf,205efe27-7666-418e-ade8-65b5e3410642,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-08-18,2,17164.00,4.00,Standard,Cancelled,32954.88
471122d4-e7dc-49ee-ae77-9f082bb7262b,57f981a5-419a-4010-8ddd-0baf05366e89,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-04-24,5,17164.00,3.00,2-day,Completed,83245.40
3bd10433-4207-4f76-b4e8-c9e54bdd1f79,a41738a9-8381-4ab8-969a-bdf3e88eb138,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-06-18,1,17164.00,5.00,Standard,Shipped,16305.80
0a4c1f1e-e870-4964-9698-3f4024cc8007,0ffd50f8-a1fd-4d06-b9cb-f4c4ec554c45,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2022-09-25,4,17164.00,2.00,Standard,Returned,67282.88
2944129d-75ae-4561-a3c3-5455c55f7c05,bdd1ef52-27bd-454c-abef-2f818cc03ce5,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2022-06-27,5,17164.00,3.00,Express,Pending,83245.40
4d71394a-3f6c-428b-9bcc-f0ba89452b7d,3c3c9c82-be01-414b-876b-953b025b3c7c,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-08-20,2,17164.00,3.00,Express,Processing,33298.16
33ba5abc-14f4-4cd0-b8b5-87e98d40e892,a3791d52-225d-4f1a-ba50-e44d2658de73,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-08-25,1,17164.00,5.00,Express,Shipped,16305.80
2d1aa839-f8d9-4d04-858a-380e5a4b9717,f24f5dc4-1f37-463f-b8ac-353fc10a6362,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-04-03,3,17164.00,0.00,Express,Processing,51492.00
566a3bd2-3f77-4364-8850-13ce5bfd11ec,893a5d09-4afd-4259-a943-f88c458a33fa,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-03-13,5,17164.00,5.00,Standard,Cancelled,81529.00
2a47e1dc-9b65-41e6-abab-70f06305ca76,91ddcb79-ec1d-4c93-8e24-f3cfffc73527,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2022-09-03,2,17164.00,1.00,2-day,Completed,33984.72
a66fae91-8c55-416f-a4ad-a2f883db8b39,432eb982-e6b3-4dda-a560-dee0a777cf2e,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-01-09,4,17164.00,2.00,2-day,On Hold,67282.88
db46d492-3de2-44dd-80ce-93631578600b,395ff77e-4c65-4c6e-9df8-36103bd43846,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-04-25,5,17164.00,1.00,2-day,Returned,84961.80
49c5e84b-9de4-4f26-a0fc-312c8a40e41e,01404b67-08b9-4aba-a9f5-f34847fa14b1,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-09-01,2,17164.00,3.00,Standard,Processing,33298.16
4c398c90-8e3c-496a-ac5f-3fb57adbb3c6,5226506b-c26a-40a1-abee-436a12a62d11,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-08-14,3,17164.00,5.00,Standard,Shipped,48917.40
7870e181-86cc-4a52-bb8d-ec6c7c5b2b61,9c1c7285-e4c7-432a-a9ee-a1505db76595,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-10-15,1,17164.00,2.00,Express,On Hold,16820.72
1deb6593-203b-4c1a-936a-f75c3e659059,a49fce48-e70c-4c71-8534-fe00ffe5fa8a,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-09-29,2,17164.00,1.00,2-day,Completed,33984.72
0e87bbaf-59d6-4a54-b757-9d41dda51368,eaf69e4d-d249-425b-8322-051b2e299699,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-06-10,5,17164.00,0.00,Express,Pending,85820.00
cbee6c83-3772-40af-b259-065e43bb9190,68b4ca2b-404c-4224-8358-192cf0677a14,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-05-05,4,17164.00,0.00,Standard,Cancelled,68656.00
c0edfac3-1bc1-4501-a9e2-019996cd555d,201910bb-3c04-4a72-8391-10e055ffe45e,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-07-06,4,17164.00,5.00,Standard,Cancelled,65223.20
997bc521-c0fd-4a31-9606-5603b2a44fbf,82764027-21a2-4718-8b7a-8b9037a170dc,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2025-01-17,4,17164.00,5.00,2-day,Completed,65223.20
daa4f151-5887-4b0a-a16c-9e0b8f4f4b20,535ee8d9-dcf8-48d7-864b-c4670b0cebd0,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2025-03-16,5,17164.00,2.00,Standard,On Hold,84103.60
02c3260c-34a1-427f-bd76-72b16873428e,ec72a86a-a754-427f-a6c4-19a990a9ac57,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2023-01-09,4,17164.00,5.00,Express,Shipped,65223.20
9cf364f7-c9ef-4d8b-9090-79a577853c02,ecdeaa4b-03ac-4e98-a293-3de838cbe65b,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-11-12,3,17164.00,5.00,2-day,Completed,48917.40
2d74ec8e-0e65-401c-ae41-f02f7ede686b,883a8d27-b8fc-47c4-8905-897d68d2faf1,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2025-01-07,5,17164.00,5.00,2-day,Shipped,81529.00
8f6a29e3-ee20-42ac-b596-610ad10b486d,fcdc0134-5290-45a1-ad66-c3e8c1cfac50,01f16bdd-b1e9-4c24-8c0a-71fda40e54ed,2024-01-01,3,17164.00,0.00,Express,Completed,51492.00
