interaction_id,customer_id,session_start,session_end,page_type,action,device,referral_source
725d3bec-b004-40ff-b825-f1834da35e1a,069d863a-3c42-4174-8c0f-2798edda6788,2024-06-03 22:55:17,2024-06-07 06:28:17,profile,liked content,tablet,Direct Visit
e648d86c-e8a0-4146-a129-a5208a744084,4eb4ef9e-e98b-4c4a-b962-6bca86b07631,2024-08-29 05:25:00,2024-09-07 03:52:35,product,navigated,desktop,Direct Visit
718036ca-832a-4d3d-8235-1ccc6f47d09a,2b8781af-0481-43be-85f7-fc272063da78,2024-12-03 17:40:47,2024-12-06 12:43:40,signup,logged in,desktop,TradeShowConnect.com
db34b992-b9b0-4469-87dd-2cfd897e6af2,f3dcd375-7128-4985-96ac-b452672018b1,2024-10-19 04:07:43,2024-10-25 21:11:14,reviews,shared link,mobile,Direct Visit
286de9e3-5727-4b9a-a27b-7ed28a0a50a9,7c30627c-d0ac-478e-b508-c2123501f2c2,2024-10-31 13:42:00,2024-11-09 09:40:26,contact,logged out,desktop,Direct Visit
624d51a5-0720-44af-9104-baae52b8a50d,3342a42c-6c67-406b-a344-c3234e0b7ba4,2025-01-28 16:45:29,2025-02-01 12:27:58,support,paused video,tablet,RobotWorld.com
581345ee-9860-4e25-8b29-3d5501fee249,3bd6f9b0-1eee-4a9c-9d5a-159ddb43f0bf,2025-02-05 21:50:25,2025-02-09 23:11:13,home,logged in,tablet,Direct Visit
6db7f229-9364-4dc3-9007-3e762469a6f2,23aa848f-9e07-43c3-a746-8615de947af3,2024-08-03 22:22:44,2024-08-11 07:02:31,faq,filled out form,mobile,Direct Visit
ddd4378d-3b34-4cd1-98c6-c6264933b3e3,dcc9dad0-9da1-4c1f-a1fd-e0cd0c04e112,2024-12-12 03:37:12,2024-12-17 04:41:23,privacy,filled out form,mobile,TradeShowConnect.com
1b884e1b-a987-427b-a9bf-9e94f5dc23fd,362babf4-cae5-44cd-ba40-f5b451b33fa6,2025-02-01 15:00:22,2025-02-02 16:51:01,faq,played video,mobile,Direct Visit
9b6427a2-2f86-489c-8a73-5dbd757ff1a8,2a32e587-671d-409c-8ed0-7ce7ba3189fc,2024-10-01 01:11:43,2024-10-06 13:00:47,privacy,clicked ad,tablet,Direct Visit
