invoice_id,order_id,customer_id,invoice_date,amount,payment_status,due_date,payment_method
c1450771-b256-4edf-879b-75cdd93cc9b2,5869c18d-0943-4b6f-acaf-c9724bba5546,f1f56778-7f4d-423c-ada5-c1f533453d76,2024-08-09,466.95,30 days past due,2024-10-28,Wire Transfer
c5c34281-299f-46be-8e23-f5cd88f51965,b5987e13-c09d-4c37-8496-1e12860de60a,54ceeb4c-b340-4f97-b27e-b2f10d577d7b,2024-11-20,500.71,Collections,2025-01-16,Invoice Financing
908da003-2f0d-4410-ab71-64a5e6b67495,f044020e-74cb-43fb-9fa7-f50777dc5bfe,3235e2ea-be73-4e5d-ab55-8ffa38c6c2a3,2024-10-09,408.12,90+ days past due,2025-04-23,Net 30 Terms
f54eed3d-f666-4dcc-bd67-6a68f374e332,709f6a34-8e1a-42fa-ab2a-cd04f00f038a,225294ca-101a-4adc-8211-b3ca8c6575c9,2025-01-23,450.55,Paid,2025-01-31,Check
a149e7d6-c9e2-42d0-a4cd-af97c7dce168,14521fb4-9dbd-4289-b95e-271d9fcf1577,eb31d7f9-7ee9-4219-8546-3db6ac8e5763,2024-06-27,605.78,60 days past due,2024-08-22,Corporate Credit Card
3c3b77a3-710b-4133-9603-3285a9c23653,cfa48b91-185b-42b4-af94-f8e1ba20a3cf,5c15fcf9-5ae6-4bc1-95b9-79da172d7f5c,2024-05-30,498.32,Collections,2024-11-05,Invoice Financing
5ea82397-c80f-4335-800d-983d70ef0df8,f7ddeb4d-abb7-44c4-a006-7f09d05e4a4f,71293295-cd4b-437b-8f36-2e63a6d1010f,2024-05-27,376.15,Paid,2024-11-28,Procurement Card
3b18c554-441b-4a31-982e-4f9fbfb23b73,cb260bbf-b3c6-401a-bd42-febbf32455af,48b9ddcb-aa66-45b1-a8c8-1ef7531c7385,2025-01-27,473.89,Paid,2025-02-20,ACH
8e490fba-ea8b-43d9-8669-1a6015abb689,bb8fefc2-0646-4317-82c7-20a4e4aa91d6,48f55b89-fa55-47e8-ae23-e4b375747d6a,2024-07-10,549.97,30 days past due,2024-12-26,Wire Transfer
a72641c1-746a-404f-9545-b79be4093eda,1253b9b3-0941-4f2e-8cec-69998a91f464,f687530b-bee4-4c98-bf3e-63d797ad4406,2024-10-21,474.95,60 days past due,2024-11-23,Corporate Credit Card
85f3f046-4cce-46f1-be3b-75592686d9dd,dd0a65ca-3623-46c1-8b05-f92322f1be30,c6e3233d-0f69-4940-a5f9-a8db7ecd26e6,2024-11-11,412.74,90+ days past due,2025-02-05,Net 30 Terms
82be3a70-6282-4159-86b2-a39ebc0c40ee,267ef371-cbbb-4f95-861f-6821faba8eba,5fc8a301-059a-40d4-9253-f04a87887b18,2024-08-18,505.72,Paid,2024-08-18,Check
51062ad9-6ff7-420f-aad2-9319584366ee,7b73e86a-4cdd-4b98-bf94-c10b0a7bc6f6,9c83650e-9356-4078-8ce5-1c80bd7223f2,2024-08-06,581.16,Paid,2025-02-05,Check
a05cebdd-d937-4c4d-95aa-af98e7037a2e,6585482f-2b0b-4ff5-8952-5a3cd62aae3b,02f93690-950f-4ab7-8292-98e219e3c276,2025-02-01,564.39,Collections,2025-04-13,Invoice Financing
ba24a572-9ef8-4938-932f-a83eb1ac19c3,41fa828e-5156-471a-811b-b503e1b40acc,f277db48-9857-4d1e-af49-8cbccc7305a5,2024-05-30,477.57,90+ days past due,2024-08-30,Net 30 Terms
686c92ea-fee6-48ef-9793-ed37b15664e4,32939502-f905-4a49-abc7-17f7d5b748a9,4afc75b4-0207-4642-bde1-0caed0f36b3b,2024-09-25,401.56,Paid,2025-03-07,ACH
61d90914-c710-43b6-906f-74dd6289759d,a0e76ebd-09e5-43b3-bbf2-d5132ac5ae5f,15e22a80-132d-4163-9588-307b442402f8,2024-10-09,452.75,60 days past due,2025-01-05,Corporate Credit Card
0631e034-4be8-487d-993c-f955e7555644,e97faf99-9bf7-423a-927a-51d380b4d4f0,62542e0e-4407-4f4a-b8dc-ae21c61b982c,2025-01-10,425.15,30 days past due,2025-03-01,Wire Transfer
1ca691b8-8cf0-460b-a724-8ce416d4deb7,c7836869-d378-40b5-98cc-15f8eeca727b,e2113dcf-e803-4488-8957-ebfd0e22ff94,2024-10-19,386.56,90+ days past due,2025-02-27,Net 30 Terms
a5c94c2e-8aa4-4000-8ba3-372693dca521,6f7cd7a4-e036-473e-a424-47257c899296,6b3a2353-964e-4f26-a121-39b8d76f2e8e,2024-07-03,403.43,Paid,2024-07-31,Check
1afba23f-c9a3-464d-aea8-b6af17b991b0,804ec7b9-d9c6-4b58-b9bf-3d996e38113d,64c1939d-e6f5-4f47-b24b-76d2cc1382ca,2024-09-12,475.10,Collections,2025-03-08,Invoice Financing
f090759a-bb4e-4bad-8503-5efe5b1b7c53,6b591017-b687-4955-b369-8c7db28cbe84,b1e6e8ae-edaa-48e3-9879-cf5b09fdbe68,2024-08-02,510.76,90+ days past due,2025-01-10,Net 30 Terms
a2faf6c7-0487-4c0d-b5f5-498803cfbc80,586d4bb3-ef47-483e-90d5-0862f7f41863,5cc98667-0b97-4e8b-912d-eb8a4a468f1d,2024-09-24,557.44,Paid,2024-11-11,ACH
a2ed5339-480c-4fb7-a824-948bf605a62e,247d9ba3-0097-446b-a228-db6b4a804e55,95e1b1c3-94da-4e75-af31-c39a0e257e09,2024-06-30,559.50,60 days past due,2024-10-17,Corporate Credit Card
5f84d770-b60f-424d-80a8-c3bcf3558aa0,9daa08cd-aa64-423f-9533-437783212aef,ec81c3e0-3bca-4816-bb36-ec2f488eb0b5,2024-10-31,548.49,Collections,2025-02-04,Invoice Financing
6abe4b94-8fd8-44e1-88f2-402ae4ea9e9f,f2beddfe-1329-4414-803a-3fcb05e1d953,ed72b1a1-002b-4036-9b39-f2460fc69321,2025-03-06,433.78,Collections,2025-04-01,Invoice Financing
86738895-dc13-406a-b1a8-612003cecd61,e394ea55-2821-425b-82f5-e2735dfcd5db,244962d6-d5e2-4ab5-8f88-ce7c5608242d,2024-06-18,493.03,60 days past due,2024-08-09,Corporate Credit Card
025b12a1-93fe-4957-a568-580f26b44cd0,23a0c72f-b440-436b-83b8-5c2af1380756,c39c7b92-c22f-498d-a3a4-9eadc234dbbc,2024-05-03,495.13,30 days past due,2024-12-05,Wire Transfer
